user_id,category_id,ads
2,800,"[2814436, 2767097, 2587040, 2812516, 2002760, 2606594, 2732959, 2031170, 2263399, 2816630]"
6,815,"[2706806, 2756986, 2872606, 2872606, 2872646, 2872868, 1719623, 2870591, 2872621, 2873203]"
14,811,"[2764838, 2626729, 2597250, 2746309, 2685325, 2783350, 2226048, 2164561, 2782336, 2262185]"
14,800,"[2802819, 1745543, 2836593, 2131857, 2446044, 2858397, 2853645, 2870637, 2856196, 2851209]"
17,815,"[2649742, 2649742, 2028956, 2586967, 2586967, 2586967, 1435828, 1455705, 1455705, 1282192]"
20,811,"[2256726, 965678, 2372231, 2372231, 218776, 218776, 2764838, 2626729, 2597250, 2746309]"
20,806,"[2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691, 2750465, 1681698]"
20,800,"[2814436, 2767097, 2587040, 2812516, 2002760, 2606594, 2732959, 2031170, 2263399, 2816630]"
24,800,"[1498085, 2857783, 2634221, 1373682, 1516192, 1940446, 868113, 2200754, 2499335, 2853754]"
24,888,"[1187656, 2836219, 2668679, 2808111, 2712171, 2803057, 2672100, 2672100, 2438288, 2660021]"
28,815,"[2807203, 2550582, 2704300, 2767282, 2737730, 2856128, 2756667, 2487297, 279240, 2753179]"
28,853,"[2854872, 2848848, 2848848, 2533670, 2859352, 2864974, 2848848, 2848848, 2848848, 2848848]"
35,806,"[2809690, 2843069, 2644663, 2870851, 2873509, 1436465, 2761235, 2862461, 2862990, 1500700]"
35,888,"[2750878, 2716075, 2872790, 2872073, 2870128, 2872893, 2057935, 2750878, 2814698, 1180826]"
48,888,"[2854198, 1425720, 1890616, 1737014, 2827386, 2825654, 2833202, 2822623, 2822623, 2831835]"
48,881,"[2847241, 490547, 2648851, 2648851, 2648851, 1754006, 1754006, 2834276, 2824131, 2794985]"
48,853,"[2851296, 1323337, 2845310, 2742158, 2823160, 2823160, 2823160, 2823160, 1587258, 2812808]"
48,815,"[577086, 1492611, 1972087, 2827590, 2844126, 2827590, 2827590, 2837837, 2841069, 2651809]"
48,800,"[2722371, 1197751, 2471366, 2565860, 2565860, 2565860, 2565860, 2821780, 2821780, 2802117]"
49,887,"[2694943, 2486365, 2472711, 2464170, 1465093, 2765463, 1420403, 1420403, 488244, 2520330]"
49,811,"[2764838, 2626729, 2597250, 2746309, 2685325, 2783350, 2226048, 2164561, 2782336, 2262185]"
49,800,"[2814436, 2767097, 2587040, 2812516, 2002760, 2606594, 2732959, 2031170, 2263399, 2816630]"
51,815,"[2347424, 2726025, 2366751, 2733931, 1193468, 2817908, 2867999, 2735795, 2775387, 2174025]"
61,806,"[2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691, 2750465, 1681698]"
67,800,"[2629515, 2591429, 2707599, 2732769, 2732769, 2059650, 2686876, 2622155, 2622155, 2096150]"
67,888,"[2780213, 2376388, 2388050, 2521928, 2254453, 2740665, 2627676, 2627699, 2530318, 1725410]"
72,888,"[2521171, 2607818, 2760084, 2735182, 1553298, 2735740, 2728762, 2145988, 2602203, 2790767]"
72,806,"[406466, 2463118, 2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691]"
76,815,"[2769930, 2624810, 2617810, 2734180, 2724170, 2573259, 2497232, 2347424, 2726025, 2366751]"
76,853,"[1252446, 2714402, 2774269, 2679481, 2797319, 2411510, 2651898, 2700922, 2853382, 1190194]"
79,815,"[2347424, 2726025, 2366751, 2733931, 1193468, 2817908, 2867999, 2735795, 2775387, 2174025]"
81,888,"[2659944, 2434340, 1966268, 2183005, 2183005, 2183005, 2722229, 766175, 1554766, 2462221]"
81,800,"[2792028, 2814436, 2767097, 2587040, 2812516, 2002760, 2606594, 2732959, 2031170, 2263399]"
90,887,"[2802433, 2417119, 2417119, 2356002, 2356002, 2677927, 701583, 2166462, 1097530, 2634993]"
90,815,"[2862362, 2826345, 2684489, 2706369, 2706369, 2706369, 458280, 2849855, 2836944, 2847403]"
92,800,"[2430639, 2814436, 2767097, 2587040, 2812516, 2002760, 2606594, 2732959, 2031170, 2263399]"
93,888,"[2254453, 2740665, 2627676, 2627699, 2530318, 1725410, 2658361, 2556302, 2732903, 2585978]"
94,815,"[2672080, 2693571, 2850244, 2845949, 2854188, 2854004, 2854004, 2326241, 2848504, 2850232]"
100,800,"[534725, 2751628, 2814436, 2767097, 2587040, 2812516, 2002760, 2606594, 2732959, 2031170]"
100,887,"[2309495, 2309495, 2599339, 2599339, 2258372, 2258372, 2677927, 701583, 2166462, 1097530]"
100,815,"[2347424, 2726025, 2366751, 2733931, 1193468, 2817908, 2867999, 2735795, 2775387, 2174025]"
103,800,"[2773968, 2020398, 2188273, 2837840, 2779976, 2829367, 2846313, 2824827, 2849853, 2829367]"
111,800,"[2814436, 2767097, 2587040, 2812516, 2002760, 2606594, 2732959, 2031170, 2263399, 2816630]"
113,815,"[2748424, 1723836, 2816482, 2098500, 2098500, 2098500, 2183370, 2407853, 2836494, 2838518]"
115,800,"[2671309, 2855293, 2816336, 2158936, 2802488, 1656810, 2764693, 2619114, 586660, 586660]"
115,815,"[2854759, 390274, 2834061, 2854759, 2854759, 2829176, 2869733, 2869733, 2813611, 2869745]"
115,853,"[2586040, 2835549, 2835549, 2835549, 2090454, 2090454, 2800388, 2800388, 2800388, 2778698]"
115,888,"[2192600, 2192600, 2192600, 2192600, 2674931, 2866295, 2866137, 2866250, 2647791, 2831624]"
118,806,"[2811276, 2438750, 2265375, 2516918, 2246912, 2665325, 26400, 2140749, 2008459, 2822691]"
121,815,"[1542045, 1542045, 2163066, 1928818, 1963158, 163363, 2777815, 2780373, 2718240, 2332274]"
123,806,"[2830861, 2774289, 2774289, 2774289, 2783611, 2265375, 2516918, 2246912, 2665325, 26400]"
131,800,"[2811489, 2811489, 2811489, 2866007, 2866007, 2811489, 2605367, 2462910, 2299500, 2346574]"
131,887,"[2582816, 2662833, 2108036, 1828096, 1828096, 2733779, 2225094, 2474054, 2437183, 2437183]"
142,806,"[2676084, 1803999, 859192, 859192, 513954, 513954, 2384768, 2670659, 2288050, 2269244]"
